gene	mean_expr	CV	log2FC	padj	description
g3392	112.9	0.1109	0.256	0.8374	sp|P87126|CWC2_SCHPO Pre-mRNA-splicing factor cwf2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cwf2 PE=1 SV=2
g12340	123.0	0.1504	0.140	0.9350	
g4834	132.3	0.1874	0.250	0.8226	sp|P48410|ABCD1_MOUSE ATP-binding cassette sub-family D member 1 OS=Mus musculus OX=10090 GN=Abcd1 PE=1 SV=1
g14869	139.5	0.2159	0.177	0.9103	
g2316	233.8	0.5877	0.287	0.8188	sp|P19881|PGP_YEAST Phosphoglycolate phosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PHO13 PE=1 SV=2
g15750	156.1	0.2818	-0.647	0.2035	sp|Q05AM4|FAH2B_DANRE Fatty-acid amide hydrolase 2-B OS=Danio rerio OX=7955 GN=faah2b PE=2 SV=1
g13604	142.6	0.2291	0.255	0.8624	
g14967	119.9	0.1394	0.324	0.7536	sp|Q9FNY7|OGG1_ARATH N-glycosylase/DNA lyase OGG1 OS=Arabidopsis thaliana OX=3702 GN=OGG1 PE=1 SV=1
g7532	146.4	0.2441	0.443	0.5532	
g12586	105.3	0.0823	-0.186	0.9046	
g8971	119.2	0.1370	-0.184	0.9099	
g5156	157.6	0.2887	0.336	0.7033	sp|Q5AVF0|AMPP1_EMENI Probable Xaa-Pro aminopeptidase P OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=ampp PE=3 SV=2
g2404	137.5	0.2096	0.071	0.9666	sp|Q9D379|HYEP_MOUSE Epoxide hydrolase 1 OS=Mus musculus OX=10090 GN=Ephx1 PE=1 SV=2
g9458	154.5	0.2769	-0.331	0.7746	
g3506	125.8	0.1634	-0.309	0.7882	sp|Q3ZBE6|TM135_BOVIN Transmembrane protein 135 OS=Bos taurus OX=9913 GN=TMEM135 PE=2 SV=1
g1044	127.8	0.1719	-0.094	0.9562	
g7437	115.0	0.1214	0.187	0.8965	
g4662	124.4	0.1587	-0.043	0.9831	sp|Q06816|HYEP_STIAD Putative epoxide hydrolase OS=Stigmatella aurantiaca (strain DW4/3-1) OX=378806 GN=STAUR_4299 PE=3 SV=2
g15714	115.1	0.1221	-0.105	0.9534	sp|Q6ZKM2|CSN6_ORYSJ COP9 signalosome complex subunit 6 OS=Oryza sativa subsp. japonica OX=39947 GN=CSN6 PE=1 SV=1
g3554	168.5	0.3335	0.234	0.8625	sp|A8DYY5|RPAP2_DROME Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2 homolog OS=Drosophila melanogaster OX=7227 GN=CG34183 PE=2 SV=1
g15079	123.5	0.1558	0.175	0.9165	sp|D4GU71|AGL14_HALVD Probable low-salt glycan biosynthesis reductase Agl14 OS=Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) OX=309800 GN=agl14 PE=3 SV=1
g5395	200.4	0.4602	0.513	0.4550	sp|Q96MD7|CI085_HUMAN Uncharacterized protein C9orf85 OS=Homo sapiens OX=9606 GN=C9orf85 PE=1 SV=1
g6315	118.0	0.1341	-0.232	0.8564	sp|Q5RI43|KERA_DANRE Keratocan OS=Danio rerio OX=7955 GN=kera PE=1 SV=1
g4757	132.8	0.1926	-0.506	0.4688	
g3343	164.4	0.3185	-0.393	0.7262	
g7156	131.9	0.1900	-0.372	0.6756	sp|Q9FHB6|DTX16_ARATH Protein DETOXIFICATION 16 OS=Arabidopsis thaliana OX=3702 GN=DTX16 PE=2 SV=1
g6859	120.9	0.1462	0.099	0.9545	sp|Q9Y4R8|TELO2_HUMAN Telomere length regulation protein TEL2 homolog OS=Homo sapiens OX=9606 GN=TELO2 PE=1 SV=2
g13589	122.0	0.1510	0.071	0.9680	sp|Q02151|YMEB_LACLA Uncharacterized ABC transporter ATP-binding protein YmeB OS=Lactococcus lactis subsp. lactis (strain IL1403) OX=272623 GN=ymeB PE=3 SV=2
g10919	125.8	0.1662	-0.176	0.9126	
g13906	133.4	0.1967	-0.192	0.8949	
g11590	108.1	0.0964	0.018	0.9910	sp|Q54BF3|FAHD2_DICDI Fumarylacetoacetate hydrolase domain-containing protein 2 homolog OS=Dictyostelium discoideum OX=44689 GN=fahd2 PE=3 SV=1
g2585	154.8	0.2818	-0.078	0.9627	
g15495	140.0	0.2241	0.092	0.9600	sp|Q8LAD0|PDX2_ARATH Probable pyridoxal 5'-phosphate synthase subunit PDX2 OS=Arabidopsis thaliana OX=3702 GN=PDX2 PE=1 SV=1
g10816	137.4	0.2142	-0.054	0.9788	sp|Q7XMK8|RH6_ORYSJ DEAD-box ATP-dependent RNA helicase 6 OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0533000 PE=2 SV=1
g16077	172.6	0.3547	-0.182	0.8853	sp|Q9I4V0|NQRED_PSEAE NADH:quinone reductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA1024 PE=1 SV=1
g6721	115.5	0.1271	-0.028	0.9856	
g2785	173.7	0.3595	0.155	0.9177	sp|Q9Y3A4|RRP7A_HUMAN Ribosomal RNA-processing protein 7 homolog A OS=Homo sapiens OX=9606 GN=RRP7A PE=1 SV=2
g9472	215.2	0.5250	0.908	0.0662	
g6989	217.4	0.5341	0.520	0.5901	sp|Q9LZ98|AB20I_ARATH ABC transporter I family member 20 OS=Arabidopsis thaliana OX=3702 GN=ABCI20 PE=2 SV=1
g15378	108.0	0.0977	0.168	0.9165	sp|P33696|EXON_RHIME UTP--glucose-1-phosphate uridylyltransferase OS=Rhizobium meliloti (strain 1021) OX=266834 GN=exoN PE=3 SV=2
g4368	165.1	0.3258	0.060	0.9700	sp|Q751P0|PXR1_EREGS Protein PXR1 OS=Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) OX=284811 GN=PXR1 PE=3 SV=1
g2628	103.6	0.0806	0.146	0.9322	sp|Q0IIS3|EPHX3_XENTR Epoxide hydrolase 3 OS=Xenopus tropicalis OX=8364 GN=ephx3 PE=2 SV=1
g13160	228.8	0.5813	0.076	0.9689	sp|Q8WXX0|DYH7_HUMAN Dynein axonemal heavy chain 7 OS=Homo sapiens OX=9606 GN=DNAH7 PE=1 SV=2
g3115	135.5	0.2082	0.291	0.7901	
g3836	144.1	0.2432	0.365	0.6756	
g4447	144.9	0.2470	0.129	0.9349	
g2187	115.0	0.1275	-0.257	0.8302	sp|Q65WT0|BD31B_ORYSJ Protein BUD31 homolog 2 OS=Oryza sativa subsp. japonica OX=39947 GN=Os05g0446300 PE=2 SV=1
g14320	125.7	0.1706	0.451	0.5655	
g2296	109.0	0.1037	0.256	0.8352	
g12463	414.1	1.3282	2.668	0.1138	sp|P21158|CSGA_MYXXA C-signal OS=Myxococcus xanthus OX=34 GN=csgA PE=1 SV=1
g6605	177.2	0.3776	0.233	0.8564	sp|Q8R5K4|NOL6_MOUSE Nucleolar protein 6 OS=Mus musculus OX=10090 GN=Nol6 PE=2 SV=2
g3974	113.4	0.1219	-0.168	0.9165	
g15526	157.1	0.2973	0.095	0.9581	sp|Q9AWM9|RPF2_ORYSJ Ribosome production factor 2 homolog OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0513800 PE=2 SV=1
g2158	135.8	0.2121	0.311	0.7454	
g198	122.1	0.1570	-0.230	0.8674	
g15605	108.9	0.1042	0.070	0.9689	sp|Q54S83|NDUF7_DICDI Protein arginine methyltransferase NDUFAF7 homolog, mitochondrial OS=Dictyostelium discoideum OX=44689 GN=midA PE=1 SV=1
g10385	146.6	0.2560	0.244	0.8282	sp|P33237|MX1_SHEEP Interferon-induced GTP-binding protein Mx1 OS=Ovis aries OX=9940 GN=MX1 PE=1 SV=1
g8489	196.8	0.4581	0.296	0.8713	
g4780	144.0	0.2463	-0.453	0.5380	sp|Q94490|UBCB_DICDI Ubiquitin conjugating enzyme E2 B OS=Dictyostelium discoideum OX=44689 GN=ubcB PE=1 SV=1
g15362	102.8	0.0805	-0.149	0.9293	
g8358	118.9	0.1454	0.163	0.9238	sp|Q22004|AMERL_CAEEL Uncharacterized protein R166.3 OS=Caenorhabditis elegans OX=6239 GN=R166.3 PE=4 SV=1
g7476	229.1	0.5893	-0.458	0.5083	
g7483	238.1	0.6258	0.933	0.1588	
g7197	111.5	0.1159	-0.125	0.9439	
g1359	142.1	0.2395	-0.375	0.6461	sp|Q2W2K2|RL24_PARM1 Large ribosomal subunit protein uL24 OS=Paramagnetospirillum magneticum (strain ATCC 700264 / AMB-1) OX=342108 GN=rplX PE=3 SV=1
g7822	181.4	0.3978	-0.409	0.6264	sp|Q9SZD1|TCX5_ARATH Protein tesmin/TSO1-like CXC 5 OS=Arabidopsis thaliana OX=3702 GN=TCX5 PE=1 SV=1
g7282	144.2	0.2483	-0.310	0.7459	sp|O95562|SFT2B_HUMAN Vesicle transport protein SFT2B OS=Homo sapiens OX=9606 GN=SFT2D2 PE=1 SV=1
g9471	222.3	0.5634	0.393	0.5814	sp|P44679|YBGC_HAEIN Acyl-CoA thioesterase YbgC OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=ybgC PE=1 SV=1
g14406	130.0	0.1912	-0.155	0.9293	sp|Q8PKQ5|ZUPT_XANC3 Zinc transporter ZupT OS=Xanthomonas citri pv. citri (strain 306) OX=190486 GN=zupT PE=3 SV=1
g14041	160.5	0.3150	0.234	0.8681	
g3048	184.8	0.4135	-0.283	0.7593	sp|Q9HCS2|CP4FC_HUMAN Cytochrome P450 4F12 OS=Homo sapiens OX=9606 GN=CYP4F12 PE=1 SV=3
g9195	116.7	0.1385	0.117	0.9474	sp|P87131|CYSKL_SCHPO Cysteine synthase 2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cys12 PE=3 SV=1
g5537	191.3	0.4407	1.070	0.0726	
g11333	138.6	0.2275	-0.201	0.8989	sp|Q92609|TBCD5_HUMAN TBC1 domain family member 5 OS=Homo sapiens OX=9606 GN=TBC1D5 PE=1 SV=1
g10488	164.0	0.3312	-0.775	0.0993	sp|Q55A09|Y9963_DICDI Probable serine/threonine-protein kinase DDB_G0272254 OS=Dictyostelium discoideum OX=44689 GN=DDB_G0272254 PE=3 SV=1
g6447	108.1	0.1046	0.255	0.8418	
g13229	128.4	0.1871	0.089	0.9614	
g13108	150.2	0.2758	0.358	0.7014	sp|Q9T096|YIPL6_ARATH Protein yippee-like At4g27745 OS=Arabidopsis thaliana OX=3702 GN=At4g27745 PE=3 SV=2
g11451	148.5	0.2688	-0.111	0.9534	
g2748	122.7	0.1649	-0.137	0.9393	
g14995	129.3	0.1918	-0.544	0.4126	
g11817	105.0	0.0936	-0.133	0.9409	
g8766	134.8	0.2147	0.220	0.8585	sp|Q8IQ05|CTF18_DROME Chromosome transmission fidelity protein 18 homolog OS=Drosophila melanogaster OX=7227 GN=cutlet PE=2 SV=2
g5646	135.4	0.2171	0.453	0.5999	sp|Q6Q0N1|CNDP2_RAT Cytosolic non-specific dipeptidase OS=Rattus norvegicus OX=10116 GN=Cndp2 PE=1 SV=1
g8870	169.1	0.3544	-0.694	0.2910	sp|P0DP43|CTSRE_MOUSE Cation channel sperm-associated auxiliary subunit epsilon OS=Mus musculus OX=10090 GN=Catspere PE=1 SV=1
g10820	158.3	0.3106	-0.046	0.9766	sp|A6V3Q8|TPMT_PSEP7 Thiopurine S-methyltransferase OS=Pseudomonas paraeruginosa (strain DSM 24068 / PA7) OX=381754 GN=tpm PE=3 SV=1
g11074	109.5	0.1125	-0.140	0.9349	
g11208	121.3	0.1613	-0.088	0.9592	
g5728	116.1	0.1409	-0.023	0.9899	sp|Q9S7E6|SMD3A_ARATH Small nuclear ribonucleoprotein SmD3a OS=Arabidopsis thaliana OX=3702 GN=SMD3A PE=2 SV=1
g9756	131.3	0.2031	0.001	0.9993	sp|Q6ZFH6|RCN11_ORYSJ Beta-1,2-xylosyltransferase RCN11 OS=Oryza sativa subsp. japonica OX=39947 GN=RCN11 PE=1 SV=1
g357	108.1	0.1083	0.264	0.8297	sp|Q9STS3|CDC23_ARATH Anaphase-promoting complex subunit 8 OS=Arabidopsis thaliana OX=3702 GN=APC8 PE=1 SV=1
g3032	135.5	0.2208	-0.511	0.4748	
g6477	171.4	0.3677	0.750	0.1147	
g13062	157.5	0.3116	0.543	0.5067	
g10150	222.8	0.5794	-0.571	0.3434	sp|Q9LLY4|LPAT1_BRANA 1-acyl-sn-glycerol-3-phosphate acyltransferase BAT2, chloroplastic OS=Brassica napus OX=3708 GN=BAT2 PE=1 SV=2
g10442	121.6	0.1647	-0.253	0.8519	
g6904	142.9	0.2525	0.275	0.8009	sp|E9PV86|MCTP1_MOUSE Multiple C2 and transmembrane domain-containing protein 1 OS=Mus musculus OX=10090 GN=Mctp1 PE=1 SV=1
g13902	193.2	0.4587	-0.818	0.1458	
g11736	113.2	0.1311	0.066	0.9704	
g1792	122.9	0.1712	0.186	0.9138	sp|Q9C9M7|CDKD2_ARATH Cyclin-dependent kinase D-2 OS=Arabidopsis thaliana OX=3702 GN=CDKD-2 PE=1 SV=1
g12427	144.1	0.2582	-0.461	0.5073	
g2806	103.1	0.0904	0.061	0.9716	sp|P27398|CAND_DROME Calpain-D OS=Drosophila melanogaster OX=7227 GN=sol PE=1 SV=2
g9368	121.5	0.1659	-0.172	0.9076	sp|B0D6H2|ARO1_LACBS Pentafunctional AROM polypeptide OS=Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686) OX=486041 GN=LACBIDRAFT_233717 PE=3 SV=1
g9298	160.3	0.3253	-0.083	0.9614	
g3450	150.4	0.2852	-0.437	0.5381	sp|Q9V3B6|CWC15_DROME Protein CWC15 homolog OS=Drosophila melanogaster OX=7227 GN=c12.1 PE=2 SV=1
g160	147.6	0.2744	-0.249	0.8249	sp|Q74FU2|COAE_GEOSL Dephospho-CoA kinase OS=Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA) OX=243231 GN=coaE PE=3 SV=1
g7460	110.3	0.1212	-0.104	0.9529	sp|O34896|UXUB_BACSU Uncharacterized oxidoreductase UxuB OS=Bacillus subtilis (strain 168) OX=224308 GN=uxuB PE=2 SV=1
g3445	117.2	0.1499	-0.278	0.8291	
g1415	126.8	0.1896	0.034	0.9849	sp|Q7ZVR1|WDR75_DANRE WD repeat-containing protein 75 OS=Danio rerio OX=7955 GN=wdr75 PE=2 SV=2
g4127	180.4	0.4105	0.202	0.8589	sp|Q9C107|MCL1_SCHPO Minichromosome loss protein 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mcl1 PE=1 SV=1
g6350	137.2	0.2328	-0.460	0.6272	
g7947	163.9	0.3429	-0.837	0.0988	sp|Q8TEQ8|PIGO_HUMAN GPI ethanolamine phosphate transferase 3, catalytic subunit OS=Homo sapiens OX=9606 GN=PIGO PE=1 SV=3
g15785	112.9	0.1329	-0.024	0.9883	
g9634	136.5	0.2306	-0.604	0.3624	sp|P9WGP8|SADH_MYCTO Putative oxidoreductase SadH OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) OX=83331 GN=sadH PE=3 SV=1
g1286	114.3	0.1386	0.284	0.7980	sp|Q9VYF2|IMPA3_DROME Putative inositol monophosphatase 3 OS=Drosophila melanogaster OX=7227 GN=CG15743 PE=2 SV=1
g101	104.9	0.1002	0.141	0.9343	
g1001	142.6	0.2562	-0.609	0.2826	
g8875	162.6	0.3389	0.210	0.8585	sp|P0C1J3|FKBP1_RHIO9 FK506-binding protein 1 OS=Rhizopus delemar (strain RA 99-880 / ATCC MYA-4621 / FGSC 9543 / NRRL 43880) OX=246409 GN=FKBP1 PE=3 SV=1
g4461	117.8	0.1536	0.031	0.9848	
g11006	110.0	0.1214	-0.149	0.9264	sp|P96831|ACD2_MYCTU Probable acyl-CoA dehydrogenase FadE2 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=fadE2 PE=1 SV=4
g796	121.7	0.1699	-0.161	0.9165	sp|Q6IVV8|PKD2_DANRE Polycystin-2 OS=Danio rerio OX=7955 GN=pkd2 PE=1 SV=1
g9943	132.0	0.2127	-0.346	0.7138	sp|P34148|RACB_DICDI Rho-related protein racB OS=Dictyostelium discoideum OX=44689 GN=racB PE=1 SV=1
g10546	131.7	0.2117	-0.025	0.9866	
g1366	114.9	0.1422	-0.186	0.9099	
g6111	183.0	0.4250	-0.467	0.5122	sp|Q14684|RRP1B_HUMAN Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens OX=9606 GN=RRP1B PE=1 SV=3
g1973	187.4	0.4433	1.075	0.0704	sp|Q54SE2|PRDXL_DICDI 1-Cys peroxiredoxin OS=Dictyostelium discoideum OX=44689 GN=DDB_G0282517 PE=3 SV=1
g10179	160.7	0.3328	-0.467	0.4889	sp|Q2T9S3|RPC6_BOVIN DNA-directed RNA polymerase III subunit RPC6 OS=Bos taurus OX=9913 GN=POLR3F PE=2 SV=1
g3919	100.4	0.0828	-0.049	0.9788	
g6577	145.0	0.2682	0.291	0.7703	
g2936	108.2	0.1159	-0.122	0.9450	
g4287	127.3	0.1952	0.075	0.9666	
g4325	134.6	0.2258	-0.317	0.7692	sp|Q66JD1|ATPF1_XENTR ATP synthase mitochondrial F1 complex assembly factor 1 OS=Xenopus tropicalis OX=8364 GN=atpaf1 PE=2 SV=1
g10682	149.5	0.2881	-0.070	0.9673	sp|Q39238|TSL_ARATH Serine/threonine-protein kinase TOUSLED OS=Arabidopsis thaliana OX=3702 GN=TOUSLED PE=1 SV=1
g15358	117.0	0.1538	0.176	0.9058	sp|Q8T3L6|FABD_DROME Probable malonyl-CoA-acyl carrier protein transacylase, mitochondrial OS=Drosophila melanogaster OX=7227 GN=beg PE=2 SV=2
g4566	154.0	0.3078	-0.075	0.9614	sp|Q8T293|DIAC2_DICDI Probable di-N-acetylchitobiase 2 OS=Dictyostelium discoideum OX=44689 GN=ctbs2 PE=3 SV=1
g11137	217.7	0.5733	0.879	0.4594	sp|Q9FY46|SUT41_ARATH Sulfate transporter 4.1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=SULTR4;1 PE=1 SV=1
g11237	105.2	0.1050	-0.030	0.9849	sp|P02640|VILI_CHICK Villin-1 OS=Gallus gallus OX=9031 GN=VIL1 PE=1 SV=2
g5523	221.7	0.5911	0.072	0.9740	sp|Q08BZ4|MDH1B_DANRE Putative malate dehydrogenase 1B OS=Danio rerio OX=7955 GN=mdh1b PE=2 SV=1
g2007	173.4	0.3897	0.012	0.9936	sp|O34499|6PGL_BACSU 6-phosphogluconolactonase OS=Bacillus subtilis (strain 168) OX=224308 GN=pgl PE=1 SV=1
g11790	116.1	0.1512	0.374	0.6924	sp|Q6INL7|ADCK1_XENLA AarF domain-containing protein kinase 1 OS=Xenopus laevis OX=8355 GN=adck1 PE=2 SV=1
g13824	126.8	0.1959	0.163	0.9180	
g11924	212.4	0.5544	0.778	0.2202	
g3098	109.3	0.1238	-0.066	0.9694	sp|O43290|SNUT1_HUMAN U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens OX=9606 GN=SART1 PE=1 SV=1
g5704	266.3	0.7804	-0.096	0.9497	sp|Q9MBF8|DYH1B_CHLRE Dynein-1-beta heavy chain, flagellar inner arm I1 complex OS=Chlamydomonas reinhardtii OX=3055 GN=DHC10 PE=1 SV=1
g14948	140.9	0.2559	-0.227	0.8463	
g5139	115.9	0.1516	0.005	0.9974	sp|Q00310|MNT1_CANAL Glycolipid 2-alpha-mannosyltransferase 1 OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=MNT1 PE=3 SV=1
g11039	136.9	0.2396	-0.185	0.9109	
g15292	159.5	0.3345	-0.893	0.0503	sp|Q55D99|PAKA_DICDI Serine/threonine-protein kinase pakA OS=Dictyostelium discoideum OX=44689 GN=pakA PE=1 SV=1
g10711	103.4	0.0995	0.229	0.8703	sp|Q9Y140|DHRS7_DROME Dehydrogenase/reductase SDR family protein 7-like OS=Drosophila melanogaster OX=7227 GN=CG7601 PE=2 SV=1
g9940	117.3	0.1577	0.143	0.9275	
g7512	111.2	0.1325	-0.193	0.9039	
g4011	113.4	0.1420	0.216	0.8802	sp|P78524|DEN2B_HUMAN DENN domain-containing protein 2B OS=Homo sapiens OX=9606 GN=DENND2B PE=1 SV=3
g7170	117.2	0.1580	-0.105	0.9522	
g13004	103.6	0.1011	0.158	0.9264	
g10004	122.4	0.1805	0.376	0.6777	sp|Q3UMC0|AFG2A_MOUSE ATPase family gene 2 protein homolog A OS=Mus musculus OX=10090 GN=Afg2a PE=1 SV=2
g3865	132.2	0.2217	0.264	0.8061	sp|Q14181|DPOA2_HUMAN DNA polymerase alpha subunit B OS=Homo sapiens OX=9606 GN=POLA2 PE=1 SV=2
g763	109.1	0.1248	0.042	0.9831	sp|A6H7F7|TPC2L_BOVIN Trafficking protein particle complex subunit 2-like protein OS=Bos taurus OX=9913 GN=TRAPPC2L PE=2 SV=1
g3500	135.1	0.2343	-0.640	0.3144	sp|O65278|ULP1B_ARATH Putative ubiquitin-like-specific protease 1B OS=Arabidopsis thaliana OX=3702 GN=ULP1B PE=5 SV=2
g3222	179.8	0.4222	0.814	0.1435	
g871	121.3	0.1767	-0.395	0.6961	
g14589	147.9	0.2889	0.680	0.2140	
g14058	121.9	0.1797	0.395	0.6888	sp|Q96BI1|S67A1_HUMAN Solute carrier family 67 member A1 OS=Homo sapiens OX=9606 GN=SLC67A1 PE=1 SV=3
g4557	118.0	0.1633	-0.184	0.9126	sp|Q63615|VP33A_RAT Vacuolar protein sorting-associated protein 33A OS=Rattus norvegicus OX=10116 GN=Vps33a PE=1 SV=1
g9724	116.0	0.1550	-0.270	0.8181	
g128	165.6	0.3638	0.030	0.9848	
g4270	125.1	0.1935	-0.048	0.9823	
g7832	155.5	0.3217	-0.856	0.0545	sp|Q9FGF0|PGML1_ARATH Phosphoglycerate mutase-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=At5g64460 PE=2 SV=1
g548	120.0	0.1727	-0.356	0.7178	sp|O04035|AT74H_ARATH Phosphoglycerate mutase-like protein AT74H OS=Arabidopsis thaliana OX=3702 GN=At1g08940 PE=3 SV=2
g6626	388.0	1.3030	-0.202	0.9135	sp|Q7Z0T3|TEMPT_APLCA Temptin OS=Aplysia californica OX=6500 PE=1 SV=1
g15028	138.7	0.2518	-0.703	0.1890	sp|Q9DBP5|KCY_MOUSE UMP-CMP kinase OS=Mus musculus OX=10090 GN=Cmpk1 PE=1 SV=1
g9547	129.1	0.2117	0.397	0.6461	sp|P49731|MCM6_SCHPO DNA replication licensing factor mcm6 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mcm6 PE=1 SV=2
g14800	170.7	0.3874	0.349	0.7976	
g4895	107.3	0.1202	-0.067	0.9713	sp|O22607|MSI4_ARATH WD-40 repeat-containing protein MSI4 OS=Arabidopsis thaliana OX=3702 GN=MSI4 PE=1 SV=3
g4320	122.2	0.1833	-0.121	0.9490	
g2215	132.0	0.2254	-0.195	0.9138	sp|Q91ZT5|FGD4_MOUSE FYVE, RhoGEF and PH domain-containing protein 4 OS=Mus musculus OX=10090 GN=Fgd4 PE=1 SV=1
g1783	101.9	0.0982	0.080	0.9649	
g4795	158.0	0.3357	-0.754	0.1559	
g5196	99.0	0.0860	0.075	0.9682	sp|O59834|FCYS_SCHPO Probable cytosine deaminase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC965.14c PE=3 SV=1
g600	136.1	0.2433	-0.103	0.9509	sp|Q8R2W9|PANK3_MOUSE Pantothenate kinase 3 OS=Mus musculus OX=10090 GN=Pank3 PE=1 SV=1
g2088	116.4	0.1597	-0.123	0.9439	
g13080	141.4	0.2659	-0.320	0.7303	
g6876	136.1	0.2432	-0.550	0.3951	sp|P24941|CDK2_HUMAN Cyclin-dependent kinase 2 OS=Homo sapiens OX=9606 GN=CDK2 PE=1 SV=2
g1271	127.7	0.2081	0.072	0.9683	sp|Q3SZY9|MED6_BOVIN Mediator of RNA polymerase II transcription subunit 6 OS=Bos taurus OX=9913 GN=MED6 PE=2 SV=1
g1245	147.0	0.2905	0.093	0.9509	
g14809	229.0	0.6392	0.553	0.4783	sp|P12769|PHR_METTH Deoxyribodipyrimidine photo-lyase OS=Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) OX=187420 GN=phr PE=3 SV=2
g1925	136.6	0.2469	0.526	0.4755	sp|Q05AQ3|S2542_XENTR Mitochondrial coenzyme A transporter SLC25A42 OS=Xenopus tropicalis OX=8364 GN=slc25a42 PE=2 SV=1
g6230	133.9	0.2356	0.324	0.7851	sp|E9PV86|MCTP1_MOUSE Multiple C2 and transmembrane domain-containing protein 1 OS=Mus musculus OX=10090 GN=Mctp1 PE=1 SV=1
g6760	124.0	0.1936	-0.159	0.9138	sp|Q18161|YBPT_CAEEL UPF0046 protein C25E10.12 OS=Caenorhabditis elegans OX=6239 GN=C25E10.12 PE=3 SV=1
g5029	131.0	0.2232	0.541	0.4601	
g3921	136.5	0.2466	0.004	0.9974	sp|O13853|ITS3_SCHPO Phosphatidylinositol 4-phosphate 5-kinase its3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=its3 PE=1 SV=3
g12904	112.3	0.1441	0.179	0.9138	
g11813	99.5	0.0898	-0.000	0.9995	
g1536	256.5	0.7585	-0.063	0.9700	sp|O95199|RCBT2_HUMAN RCC1 and BTB domain-containing protein 2 OS=Homo sapiens OX=9606 GN=RCBTB2 PE=1 SV=1
g15858	260.8	0.7765	0.426	0.6084	sp|Q7Z9J4|H2B_AJECA Histone H2B OS=Ajellomyces capsulatus OX=5037 GN=HTB1 PE=3 SV=3
g11424	106.4	0.1204	0.086	0.9614	sp|O60178|NTA1_SCHPO Protein N-terminal amidase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=nta1 PE=3 SV=1
g3672	121.6	0.1851	0.471	0.5515	
g7027	123.8	0.1944	0.302	0.7839	sp|O07427|MGLL_MYCTU Monoacylglycerol lipase OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=Rv0183 PE=1 SV=2
g4640	175.0	0.4131	-0.888	0.0552	
g2188	137.7	0.2542	0.182	0.8910	sp|E9Q368|TARB1_MOUSE tRNA (guanosine(18)-2'-O)-methyltransferase TARBP1 OS=Mus musculus OX=10090 GN=Tarbp1 PE=1 SV=1
g1691	136.2	0.2479	-0.312	0.8041	sp|Q9C8J7|TRO_ARATH Protein TRAUCO OS=Arabidopsis thaliana OX=3702 GN=TRO PE=1 SV=1
g13588	121.7	0.1866	0.309	0.7804	
g9128	172.9	0.4054	-0.326	0.7502	sp|Q6BTS9|NOP12_DEBHA Nucleolar protein 12 OS=Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) OX=284592 GN=NOP12 PE=3 SV=2
g10653	119.7	0.1780	0.269	0.8351	sp|O73787|GCP3_XENLA Gamma-tubulin complex component 3 homolog OS=Xenopus laevis OX=8355 GN=tubgcp3 PE=1 SV=1
g10957	121.0	0.1838	0.308	0.7635	sp|Q8VY08|LCMT1_ARATH Leucine carboxyl methyltransferase 1 homolog OS=Arabidopsis thaliana OX=3702 GN=LCMT1 PE=1 SV=1
